IDE;aitem1;aitem2;aitem3;aitem4;aitem5;aitem6;aitem7;aitem8;aitem9;aitem10;aitem11;aitem12;aitem13;aitem14;aitem15;aitem16;aitem17;aitem18;aitem19;aitem20;aitem21;aitem22;aitem23;aitem24;aitem25;aitem26;aitem27;aitem28;aitem29;aitem30;aitem31;aitem32;aitem33;aitem34;aitem35;aitem36;aitem37
R001;4;4;2;4;2;3;3;4;3;3;3;4;4;2;3;3;2;3;2;4;2;4;2;4;3;3;3;3;5;2;4;4;5;3;3;5;4
R002;2;2;2;4;2;2;3;4;4;3;2;3;2;3;4;4;2;4;3;1;4;1;2;1;3;4;1;2;3;1;3;3;2;3;3;1;3
R003;2;2;2;4;2;2;2;4;2;2;2;4;4;2;4;4;2;4;4;2;2;1;4;2;2;5;2;2;2;2;2;2;4;4;4;2;2
R004;1;1;1;1;1;1;5;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;5;1;1;1;1;1;1;1;1;1;1;1;1
R005;3;5;5;1;1;3;2;5;2;1;1;2;3;2;1;3;3;2;3;2;1;3;3;1;2;1;3;3;1;1;2;3;1;1;1;1;1
R006;1;1;4;1;1;1;1;5;1;1;1;3;1;2;1;1;1;1;1;1;1;1;2;1;4;1;3;2;1;1;2;3;1;2;1;1;1
R007;1;1;1;1;5;1;1;4;1;1;1;5;1;1;1;3;1;2;1;1;1;1;3;1;1;3;1;1;1;1;5;5;1;1;1;1;1
R008;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
R009;2;2;4;2;2;2;2;4;2;2;2;3;2;2;2;2;2;2;2;2;1;3;1;2;2;2;2;2;1;2;2;2;1;1;1;2;2
R010;4;2;1;1;2;1;1;5;2;1;4;4;5;2;1;1;2;1;5;5;2;1;4;1;2;1;2;5;5;4;4;5;4;4;1;5;5
R011;1;1;1;1;4;1;1;5;1;2;1;2;2;1;1;1;5;3;1;2;4;1;2;1;5;1;3;2;1;1;2;1;1;1;1;1;2
R012;1;5;2;1;1;2;1;1;1;2;1;2;3;1;1;3;1;2;2;1;3;3;3;2;2;1;1;1;1;1;1;2;1;1;1;1;1
R013;1;4;1;1;1;1;1;1;3;1;1;2;5;1;2;5;1;2;3;1;1;2;2;1;1;2;1;2;1;1;3;4;2;1;1;2;2
R014;1;1;5;1;5;1;1;5;1;1;5;1;1;5;1;1;5;1;1;1;5;1;1;1;5;1;1;1;1;1;1;1;1;1;1;1;1
R015;1;3;3;1;1;1;4;1;1;1;1;2;4;2;1;1;5;1;1;2;4;4;2;1;4;1;3;1;2;1;1;1;3;2;2;2;1
R016;1;2;2;1;4;1;1;1;2;1;1;2;4;2;1;2;2;2;1;2;2;2;2;2;5;1;1;2;1;1;3;2;1;1;1;1;2
R017;1;1;1;1;5;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
R018;1;2;1;1;1;2;1;1;2;1;1;2;1;1;1;1;1;3;1;2;1;1;3;1;1;1;2;2;1;2;2;1;1;1;1;1;1
R019;3;3;3;1;1;3;5;1;5;5;1;1;5;1;4;1;3;3;3;5;2;5;1;4;1;3;1;4;1;1;1;3;1;1;3;1;5
R020;3;2;2;2;2;4;2;2;3;3;2;4;4;1;3;2;3;4;2;2;2;3;3;2;2;3;3;2;2;3;3;4;2;3;3;2;2
R021;2;4;2;1;1;1;1;1;2;1;1;1;3;4;2;2;1;1;2;2;1;2;4;1;1;1;1;2;1;1;3;2;2;1;1;1;2
R022;1;5;1;1;1;1;1;1;3;1;1;3;5;1;3;3;5;1;1;1;1;3;1;1;1;1;1;3;1;1;3;3;1;1;1;3;5
R023;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;3;1;1;1;5;1;1;1;1;1
R024;1;5;1;1;1;1;2;1;1;1;1;1;2;1;2;2;1;1;2;1;1;1;3;1;1;1;3;3;1;1;1;1;1;1;1;1;1
R025;2;1;2;2;2;1;1;1;1;2;1;1;4;2;1;2;1;2;2;1;2;1;1;1;2;1;1;2;2;1;2;3;1;1;1;2;3
R026;1;2;2;1;1;1;1;1;2;1;1;2;2;1;1;2;1;1;1;1;1;2;1;1;1;1;2;2;1;1;1;2;1;1;1;1;1
R027;1;1;1;1;1;1;1;1;1;1;1;1;5;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
R028;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;3;1;5;1;1;1;1;1;1;1;1;1;1;1;1
R029;1;2;3;2;1;1;2;1;2;1;2;2;2;1;1;2;1;1;2;1;1;2;3;4;3;2;2;3;1;1;3;2;2;3;3;1;3
R030;1;1;1;1;1;1;1;1;5;1;1;1;1;1;1;5;1;1;1;1;5;1;1;1;1;1;1;1;1;1;5;5;1;1;1;1;1
R031;1;1;5;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;3;1;5;2;3;1;1;3;3;3;1;1;3;1;1
R032;4;4;2;4;1;3;1;1;3;1;1;4;5;2;1;4;3;5;2;4;1;4;4;4;3;1;4;1;1;4;3;3;1;1;1;1;3
R033;2;1;2;1;1;2;4;2;3;2;2;1;3;2;1;2;2;3;1;1;2;2;2;1;2;1;2;2;2;2;3;3;4;4;2;4;4
R034;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;3;1;1;2;1;1;1;1;5;2
R035;4;3;2;3;2;3;4;2;3;1;3;4;3;3;4;3;2;4;3;4;2;3;4;4;2;4;4;4;4;4;4;4;3;3;3;4;3
R036;1;1;1;1;5;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;5;1;1;1;1;1;1
R037;2;3;2;2;1;3;1;1;2;3;1;2;4;1;2;4;1;3;3;1;2;3;3;3;5;2;3;2;2;3;3;3;1;3;1;2;3
R038;1;4;5;2;1;1;1;1;1;1;1;3;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1
R039;3;5;3;2;2;2;3;1;3;3;3;3;3;3;3;5;1;3;1;3;3;3;3;3;3;1;1;3;1;2;5;4;1;3;1;1;3
R040;1;3;1;1;1;1;1;1;1;1;1;3;3;1;1;1;1;1;1;1;1;3;3;1;1;1;3;3;1;1;3;2;1;1;1;3;1
R041;3;2;4;2;4;2;2;1;4;1;3;1;2;1;2;2;5;2;4;2;5;2;3;2;5;1;3;2;1;4;4;5;2;2;2;3;2
R042;3;1;1;2;3;2;4;3;4;1;4;3;5;2;2;2;2;2;3;1;4;5;2;2;4;2;1;1;4;5;1;2;1;2;5;5;5
R043;3;2;2;5;2;3;5;4;3;2;3;1;5;4;1;1;4;4;1;4;4;2;1;1;5;2;2;1;5;2;2;4;3;2;5;2;1
R044;2;3;1;5;5;5;2;2;4;3;3;4;5;4;5;1;2;3;3;2;4;3;4;3;1;3;5;3;5;4;3;1;5;3;4;3;3
R045;3;3;5;4;3;4;4;4;2;1;1;1;5;4;1;4;1;2;4;5;1;2;2;3;3;5;3;4;2;2;5;1;1;2;5;1;4
R046;4;1;4;4;4;2;5;2;4;3;3;1;2;2;3;3;4;4;3;4;2;5;4;3;3;5;1;2;3;2;4;3;3;2;1;4;5
R047;1;2;3;2;2;3;2;1;1;2;4;2;3;5;1;2;2;2;2;5;4;5;5;5;3;2;4;2;5;3;5;1;5;2;2;4;2
R048;5;5;3;4;3;5;2;1;5;1;2;2;1;4;1;2;2;2;3;2;1;4;5;4;3;1;1;2;2;5;4;1;2;4;4;3;3
R049;1;5;2;1;4;2;3;2;4;4;2;3;5;2;5;2;3;3;2;4;5;1;4;1;5;1;5;3;5;2;1;4;1;3;2;4;4
R050;4;4;3;2;5;5;4;1;2;3;2;4;4;4;5;3;1;1;2;4;1;2;5;1;4;3;4;3;4;1;1;1;1;1;1;5;2
R051;4;4;3;3;3;1;2;5;2;5;3;2;1;5;1;3;1;4;1;5;2;1;1;1;4;2;2;1;1;4;3;3;2;1;5;3;2
R052;5;1;2;1;2;1;3;3;5;4;3;3;2;2;4;5;1;3;4;3;1;5;4;5;5;1;4;2;4;4;2;1;5;4;4;1;4
R053;5;4;1;3;5;4;1;2;3;3;2;1;3;4;1;1;1;4;5;5;4;1;3;3;4;4;5;1;5;5;5;4;5;5;5;1;4
R054;5;2;4;4;3;1;5;3;2;1;4;3;1;3;2;3;5;3;4;5;5;3;3;3;1;5;3;4;3;1;2;1;2;4;5;3;1
R055;5;4;4;2;2;4;2;4;1;5;5;1;5;5;3;2;5;5;5;1;3;2;4;2;1;3;2;2;1;5;5;4;4;1;5;1;5
R056;4;2;2;3;3;5;3;3;5;3;1;4;2;3;2;4;3;2;1;1;4;1;2;2;1;1;4;1;3;1;3;2;3;3;5;5;1
R057;4;1;3;1;3;4;4;2;2;3;2;2;3;4;3;2;5;3;2;5;3;1;2;1;4;2;3;4;5;2;5;4;4;1;5;5;2
R058;4;2;2;2;4;1;2;2;1;1;5;2;4;2;5;2;4;3;1;5;2;5;1;1;3;3;4;4;5;1;1;3;2;2;4;2;2
R059;4;5;1;5;3;2;5;4;3;1;4;1;4;4;3;3;1;3;1;2;2;2;2;4;5;3;1;4;5;5;3;2;4;4;4;3;2
R060;1;1;5;1;4;2;5;3;5;1;1;3;3;3;3;5;4;3;2;1;2;1;1;4;5;2;1;1;1;1;3;4;5;1;5;2;3
R061;3;1;3;1;1;3;2;5;3;1;4;3;3;4;1;4;5;3;4;1;5;2;3;3;1;5;3;2;2;2;3;5;1;3;1;5;2
R062;4;1;3;4;1;5;3;2;3;4;5;4;1;1;4;2;1;4;5;2;4;5;1;5;1;2;5;1;1;3;4;3;5;3;2;4;2
R063;5;2;2;2;4;1;4;3;3;5;5;5;3;3;3;4;1;4;2;3;5;4;3;4;4;1;5;3;1;3;1;2;3;5;4;3;1
R064;1;3;1;2;5;2;5;1;1;4;5;3;3;3;2;3;3;3;4;5;3;4;4;3;2;4;5;3;1;1;4;2;1;4;2;3;3
R065;3;1;2;1;3;5;2;3;1;1;5;3;5;3;2;3;5;3;4;2;3;3;5;5;5;1;5;1;2;2;2;5;3;4;5;2;2
